index,Text,Emotion
64,दिल्ली में बारिश होने वाली है क्या ,3
65,इधर से बुकिंग क्यों नहीं हो रहा है  ,3
66,क्या कोई कूपन है तुम्हारे पास ,3
67,इस एप के बारे में  और बताओ ,3
68,मै काफी थक गया आज ,3
69,दिवाली में फ्लाइट्स की रेट काफी मेहेंगी हो जाती है ,3
70,हम सही रास्ते जा रहे थे ,3
71,कैसा है तू,3
72,इधर बारिश हुई थी क्या सुबह ,3
73,क्या आज धुप पड़ेगी ,3
74,तुरंत एक कैब बुलाओ ,3
75,मेरा एक सवाल है  ,3
76,मेरा एक काम कर दो ,3
77,और क्या क्या कर सकते हो तुम मेेरे लिए ,3
78,कल की दिल्ली से मुंबई की कोई ट्रैन टिकट है ,3
79,सारथी मदद करो ,3
80,मौसम क्या सुहाना है ,3
81,आज के दिन काफी सारे काम हो जाते है ,3
82,समझ नहीं आ रहा यार क्या करूँ मै,3
83,क्या तुमने खाना खा लिया ,3
84,होटल तो ठीक ही था,3
85,एक उबर बुक करो ,3
86,आज का तापमान क्या है ,3
87,मेरे को एक मदद चाहिए था,3
88,एक कैब बुक करदो ,3
89,फ्लाइट में खाने के लिए भी कुछ बुक कर दो ,3
90,जल्दी से एक काम करना ,3
91,चलो यह करके देखें,3
92,काफी ठण्ड है ,3
93,बहुत गर्मी है यार यहाँ ,3
94,इसको भी एक बार चेक करना चाहिए ,3
95,कैब आने में और कितना टाइम है ,3
96,जल्दी एक ट्रैन का टिकट बुक करो ,3
97,बैंगलोर में कोई भी होटल बुक कर दो,3
98,काम हो गया,3
99,अब क्या करूँ ,3
100,कब तक रिचार्ज हो जाएगा मेरा ,3
101,पैसे लौटने की क्या संभाऊंना है ,3
102,मेरे अकाउंट से पैसे कैसे कट गए ,3
103,कब तक चलेंगे  इतने पैसे में ,3
104,ट्रैन बुकिंग कैसे करू समझ में नहीं आ रहा है ,3
105,मेरी फ्लाइट का क्या स्टेटस है ,3
106, टिकट कन्फर्म है क्या ,3
107,मैंने जो कैब बुक की थी वह दिखा क्यों नहीं रहा ,3
108,क्या अभी तुरंत हो जाएगा ,3
109,मेरा पैक कब तक चलेगा,3
110,क्या तुम मेरी हेल्प कर सकते हो ,3
111,बुकिंग कैसे होगा ,3
112,एक बढ़िया सा होटल बुक करो ,3
113,मेरे को अपने आस पास की होटल दिखाओ,3
114,क्या आप बताएंगे मेरे अकाउंट की एक्सपायरी डेट ,3
115,अंतिम तिथि क्या है मेरे अकाउंट बंद होने की ,3
116,इधर बुकिंग कैसे  होता है ,3
117,मै पेमेंट कैसे करू ,3
118,ये कैसे होगा,3
119,मेरी फ्लाइट लेट क्यों हुई है ,3
120,ट्रैन टिकट बुक कर सकता है तू ,3
121,इतने पैसे में कितने दिन चलेंगे ,3
122,क्या मुझे लास्ट डेट बताएंगे ,3
123,मेरा अकाउंट कब तक चलेगा ,3
124,कब तक ख़त्म हो जायेंगे मेरे अकाउंट के पैसे ,3
125,सबसे सस्ती फ्लाइट कैसे पता चलेगी ,3
126,आगे क्या करना समझ नहीं आ रहा है ,3
127,ये होटल का प्राइस इतना ज़्यादा क्यों दिखा रहा है ,3
