index,Text,Emotion
125,तुम्हरा कोटि कोटि धन्यवाद मेरा मोबाइल नंबर रजिस्टर करने के लिए ,1
126,मेरा ट्रैन टिकट बुक हो गया वाओ ! !  ,1
127,वाओ बैंगलोर की ट्रेन मिल गई,1
128,वाओ ! ! ! यार क्या चीज़ बताई है तुमने,1
129,इतना सुन्दर होटल है ,1
130,यह तो बहुत अच्छा ऐप है,1
131,लाजवाब जगह था वह ,1
132,एक नंबर काम किया है भाई तूने,1
133,वाओ ! !  ,1
134,वूहू ! ! मज़ा आ गया ,1
135,यीपी ! ! ! मै जल्दी घर आ गया ,1
136,हुर्रे ! ! ! क्या डील मिली है !,1
137,कैब ड्राइवर बहुत हेल्पिंग था ,1
138,ये काम बहुत अच्छा किया तूने ,1
139,भाई तूने मेरी बहुत हेल्प की है ,1
140,मस्त होटल था यार ,1
141,अच्छा काम किया भाई ,1
142,खुश हुआ मैं ,1
143,आ हा ! ! ! क्या बात है ,1
144,यीपी  ! ! ! मुझे सस्ती फ्लाइट मिल ,1
145,वाह ! ! ! क्या मौसम है ,1
146,वाह ! ! ! सस्ती चीज बता दी यार,1
147,अरे वाह क्या बात है ,1
148,अरे वाह इतनी जल्दी हो भी गया ,1
149,कितना खूबसूरत होटल था ,1
150,ट्रैन की यात्रा  काफी अच्छी थी ,1
